Time (s),q1_values_deg,q2_values_deg,q3_values_mm,q1_dot_deg_per_s,q2_dot_deg_per_s,q3_dot_mm_per_s,q1_dotdot_deg_per_s2,q2_dotdot_deg_per_s2,q3_dotdot_mm_per_s2
48.38,1.1855707966942588,86.76390444335635,1.0,-0.07205985417158,0.11948589704289247,0.0,-0.14667867122175604,0.24315127234331158,0.0
48.39,1.1848428595469076,86.76511146763363,1.0,-0.0734729592579697,0.12182837823928594,0.0,-0.13576326044095754,0.2250481754373368,0.0
48.4,1.1841013375090994,86.76634101092114,1.0,-0.07477511938039916,0.12398686055163921,0.0,-0.12450527251350874,0.20637736962925146,0.0
48.410000000000004,1.1833473571592996,86.76759120484466,1.0,-0.07596306470823988,0.12595592563187097,0.0,-0.1129358945572978,0.18719059994509735,0.0
48.42,1.1825820762149346,86.76886012943378,1.0,-0.07703383727154511,0.12773067255054116,0.0,-0.1010863118805494,0.16753960593973716,0.0
48.43,1.1818066804138687,86.77014581829567,1.0,-0.07798479094585087,0.1293067177506657,0.0,-0.08898770785137344,0.14747612151921885,0.0
48.44,1.1810223803960176,86.77144626378879,1.0,-0.07881359142857258,0.13068019498092553,0.0,-0.0766712636407485,0.1270518735552173,0.0
48.45,1.1802304085852973,86.77275942219529,1.0,-0.07951821621866584,0.13184775522177006,0.0,-0.06416815828858002,0.10631858192056143,0.0
48.46,1.1794320160716443,86.77408321889322,1.0,-0.08009695459434418,0.13280656661933676,0.0,-0.05150956835509035,0.08532795924054426,0.0
48.47,1.1786284694934104,86.77541555352768,1.0,-0.08054840758576765,0.13355431440658094,0.0,-0.03872666777815503,0.06413171028896159,0.0
48.480000000000004,1.177821047919929,86.77675430518136,1.0,-0.08087148794990728,0.134089200825116,0.0,-0.025850628062040748,0.04278153191705769,0.0
48.49,1.1770110397344122,86.77809733754418,1.0,-0.08106542014700846,0.1344099450449221,0.0,-0.012912618211347038,0.02132911305352536,0.0
48.5,1.1761997395169888,86.77944250408225,1.0,-0.08112974031413422,0.1345157830861865,0.0,5.6195774145173516e-05,-0.00017386618367254414,0.0
48.51,1.1753884449281295,86.7807876532059,1.0,-0.08106429623152556,0.13440646772124865,0.0,0.013024650609705368,-0.021675734060977447,0.0
48.52,1.1745784535923582,86.78213063343668,1.0,-0.08086924730194012,0.13408226840496695,0.0,0.0259615854009132,-0.04312482662527373,0.0
48.53,1.1737710599820907,86.783469298574,1.0,-0.08054506452350729,0.13354397118874317,0.0,0.0388358422270807,-0.06446948901839278,0.0
48.54,1.172967552301888,86.78480151286045,1.0,-0.0800925304573985,0.1327928786245991,0.0,0.05161626589811341,-0.08565807462446173,0.0
48.550000000000004,1.1721692093729428,86.7861251561465,1.0,-0.07951273920554502,0.13183080969625394,0.0,0.06427170372580449,-0.10663894471463209,0.0
48.56,1.1713772975177772,86.78743812905438,1.0,-0.07880709638288241,0.13066009973030646,0.0,0.07677100564484896,-0.12736046876682394,0.0
48.57,1.1705930674452851,86.7887383581411,1.0,-0.07797731909264805,0.12928360032091746,0.0,0.08908302398691337,-0.1477710237196561,0.0
48.58,1.1698177511359242,86.7900238010608,1.0,-0.07702543590314415,0.12770467925591333,0.0,0.10117661366437769,-0.16781899407902756,0.0
48.59,1.1690525587272222,86.79129245172622,1.0,-0.07595378681936049,0.1259272204393369,0.0,0.11302063184892575,-0.18745277142073746,0.0
48.6,1.168298675399537,86.79254234546958,1.0,-0.07476502326616563,0.12395562382749858,0.0,0.12458393745862217,-0.20662075357336107,0.0
48.61,1.167557258261899,86.79377156420277,1.0,-0.07346210807018805,0.12179480536786969,0.0,0.13583539163697367,-0.225271344689304,0.0
